model,acc_mean,acc_std,balacc_mean,balacc_std,prec_mean,rec_mean,f1_mean,f1_std,roc_auc_mean,pr_auc_mean,mcc_mean
LDA,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
RFS,0.96,0.07999999999999999,0.96,0.07999999999999999,1.0,0.9199999999999999,0.9583333333333334,0.0833333333333333,1.0,1.0,0.9309307341415956
XGB,0.96,0.07999999999999999,0.96,0.07999999999999999,1.0,0.9199999999999999,0.9583333333333334,0.0833333333333333,1.0,1.0,0.9309307341415956
CAT,0.96,0.07999999999999999,0.96,0.07999999999999999,1.0,0.9199999999999999,0.9583333333333334,0.0833333333333333,1.0,1.0,0.9309307341415956
DTS,0.96,0.07999999999999999,0.96,0.07999999999999999,1.0,0.9199999999999999,0.9583333333333334,0.0833333333333333,0.96,0.96,0.9309307341415956
LRN,0.9377777777777776,0.050965977516354295,0.9400000000000001,0.04898979485566355,0.9266666666666667,0.96,0.9373737373737374,0.051266979961412204,0.99,0.99,0.8865986323710905
MLP,0.8511111111111112,0.1119082516623482,0.8450000000000001,0.116619037896906,0.86,0.82,0.8462914862914863,0.11720762321350323,0.9259999999999999,0.9391428571428572,0.7046587523973317
KNN,0.8488888888888889,0.1521208096899985,0.85,0.14404860290887936,0.8333333333333334,0.9099999999999999,0.8462193362193362,0.15383450930161682,0.8870000000000001,0.8605555555555554,0.7163352919811932
GNB,0.7333333333333333,0.20763215336529914,0.735,0.2071231517720798,0.739047619047619,0.79,0.7275252525252525,0.21566366226820974,0.8460000000000001,0.8941666666666667,0.4713053962311194
LGB,0.5888888888888889,0.20667861375264748,0.585,0.20952326839756963,0.26666666666666666,0.25,0.48311688311688317,0.26039743702544893,0.585,0.5817460317460317,0.1683772233983162
