model,RMSE,MAE,MAPE,R2,EVS,best_params_len
LAS,87.54909777323317,72.3505534873702,0.01623080204156768,0.9969054209328349,0.9971100047442288,1
RID,98.38179368818923,84.07179340522706,0.018288196816974977,0.995748193555895,0.9961090946704625,1
ENR,98.44535688349251,84.05966957801203,0.018271024382732592,0.9957326846755358,0.9960951325129397,2
XGBR,339.479551911896,284.3721008300781,0.06512684231230094,0.9570310481965837,0.9606208796938649,6
CATR,365.2164857120909,296.42539733621925,0.06716064259497899,0.9521573491185803,0.9564557521113897,5
RFR,471.3600652465193,395.76877340375194,0.09273036026922377,0.9184441569081434,0.9300887986441332,6
DTR,474.18227405899034,396.7598518518518,0.08959819230629154,0.9064341178663916,0.9131758363247311,2
KNR,521.171801059345,443.006876560126,0.09624469323221414,0.8863051980273375,0.892984677116968,2
MLP,1006.2843705519848,822.1073895693872,0.18046874456527784,0.6213533782613981,0.6899769897698574,2
LGBR,1705.4436824008044,1516.25,0.3585829067005795,-0.04209424473654947,0.0,8
